t_ms,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2
184451,-9408,-4276,12912,-458,-46,-346,-9540,-2756,11956,-536,-190,-225
184471,-9308,-4184,12764,-567,-39,-372,-9420,-2728,11984,-553,-223,-233
184491,-9472,-4308,12952,-266,-98,-367,-9540,-2896,11928,-547,-226,-209
184511,-9264,-4212,13052,-452,-32,-295,-9448,-2812,11948,-541,-196,-213
184531,-9484,-4168,12932,-562,-34,-402,-9480,-2836,12076,-534,-207,-221
184551,-9548,-4300,12932,-396,-38,-334,-9456,-2712,12020,-540,-178,-209
184571,-9400,-4196,12992,-450,-59,-366,-9392,-2744,11900,-544,-192,-213
184591,-9480,-4292,12988,-472,-76,-392,-9640,-2784,11960,-543,-216,-206
184611,-9508,-4204,12876,-483,-33,-310,-9444,-2728,11992,-523,-186,-207
184631,-9304,-4308,13000,-327,-58,-399,-9544,-2784,11900,-540,-204,-213
184651,-9440,-4164,12904,-597,-30,-300,-9440,-2668,11928,-526,-201,-211
184671,-9372,-4232,12960,-429,-25,-385,-9508,-2844,11988,-551,-220,-215
184691,-9448,-4216,13028,-483,-32,-323,-9472,-2744,11980,-539,-230,-216
184711,-9436,-4268,12904,-436,-50,-352,-9408,-2696,11956,-525,-204,-210
184731,-9372,-4300,13124,-461,-25,-326,-9468,-2772,11972,-546,-204,-210
184751,-9308,-4260,12948,-430,-23,-375,-9460,-2736,11868,-530,-222,-221
184771,-9604,-4260,12908,-413,-72,-371,-9452,-2764,11920,-537,-193,-217
184791,-9448,-4264,12936,-568,-42,-356,-9460,-2780,11892,-538,-228,-215
184811,-9400,-4276,12964,-455,-49,-366,-9504,-2748,12020,-549,-203,-235
184831,-9452,-4288,13104,-355,-45,-318,-9468,-2804,11916,-533,-225,-205
184851,-9372,-4248,12844,-491,-24,-375,-9476,-2784,11980,-530,-200,-200
184871,-9472,-4196,12868,-479,-61,-372,-9472,-2784,12024,-525,-221,-223
184891,-9416,-4248,12840,-487,-41,-343,-9500,-2808,11756,-562,-216,-212
184911,-9460,-4204,13064,-360,-61,-344,-9616,-2752,12024,-544,-204,-233
184931,-9388,-4248,12952,-502,-53,-349,-9424,-2748,11892,-543,-189,-208
184951,-9244,-4100,12924,-472,-47,-358,-9540,-2804,12012,-535,-204,-233
184971,-9424,-4184,13020,-470,-60,-317,-9452,-2720,11996,-519,-189,-223
184991,-9516,-4296,12780,-434,-9,-349,-9532,-2796,11948,-551,-207,-238
185011,-9400,-4196,13000,-449,-34,-357,-9432,-2820,12016,-540,-192,-235
185031,-9428,-4136,12956,-499,-42,-340,-9476,-2860,11860,-540,-211,-233
185051,-9444,-4104,13024,-423,-57,-375,-9480,-2868,12036,-554,-213,-213
185071,-9452,-4244,12856,-424,-50,-340,-9552,-2788,11876,-570,-199,-217
185091,-9388,-4252,12992,-498,-57,-335,-9488,-2768,12020,-544,-202,-216
185111,-9508,-4256,12904,-506,-38,-358,-9532,-2812,11864,-540,-194,-247
185131,-9392,-4236,12836,-384,-60,-364,-9540,-2852,11920,-528,-198,-233
185151,-9436,-4180,12816,-436,-42,-355,-9496,-2784,12044,-545,-208,-224
185171,-9468,-4180,12964,-518,-48,-356,-9532,-2788,11900,-526,-190,-216
185191,-9564,-4244,13072,-426,-20,-352,-9452,-2760,12080,-522,-221,-236
185211,-9432,-4168,12964,-463,-23,-354,-9424,-2796,12108,-562,-195,-214
185231,-9288,-4224,12884,-429,-71,-360,-9528,-2816,11904,-548,-190,-225
185251,-9516,-4140,13000,-492,-38,-332,-9492,-2768,11980,-541,-180,-205
185271,-9388,-4116,12936,-494,-35,-360,-9516,-2736,12032,-542,-213,-215
185291,-9444,-4148,12816,-486,-17,-317,-9460,-2752,11908,-552,-190,-219
185311,-9424,-4268,12880,-320,-60,-341,-9496,-2820,12060,-531,-195,-217
185331,-9428,-4240,13016,-434,-41,-334,-9464,-2804,11892,-533,-213,-242
185351,-9472,-4208,12964,-566,-37,-365,-9536,-2804,11920,-535,-202,-231
185371,-9360,-4192,12852,-513,-23,-346,-9448,-2760,12080,-539,-193,-236
185391,-9436,-4192,13048,-366,-47,-316,-9472,-2768,11992,-558,-206,-237
185411,-9448,-4192,12856,-438,-25,-341,-9432,-2788,11876,-552,-199,-217
185431,-9480,-4204,12852,-504,-52,-356,-9544,-2828,11932,-552,-201,-207
185451,-9464,-4268,12976,-522,-36,-326,-9448,-2700,12032,-537,-218,-225
185471,-9304,-4236,12924,-450,-32,-340,-9448,-2828,11836,-539,-208,-214
185491,-9348,-4344,13084,-340,-69,-341,-9552,-2804,11940,-536,-193,-216
185511,-9448,-4312,12856,-498,-30,-335,-9476,-2804,11980,-546,-193,-230
185531,-9372,-4160,12956,-526,-34,-362,-9468,-2708,11924,-552,-202,-223
185551,-9396,-4244,12888,-422,-54,-368,-9392,-2780,11920,-535,-194,-239
185571,-9476,-4244,12944,-442,-47,-356,-9560,-2864,11896,-552,-196,-210
185591,-9408,-4112,13016,-434,-76,-360,-9488,-2764,12032,-557,-188,-228
185611,-9456,-4172,12920,-461,-60,-327,-9528,-2772,11852,-533,-198,-209
185631,-9400,-4280,12932,-474,-32,-370,-9492,-2848,12032,-547,-201,-210
185651,-9436,-4208,13024,-449,-25,-338,-9524,-2760,11904,-534,-218,-224
185671,-9468,-4296,12972,-394,-57,-378,-9504,-2804,12020,-536,-222,-213
185691,-9364,-4284,12916,-494,-36,-340,-9536,-2764,12004,-561,-212,-227
185711,-9404,-4148,12928,-503,-40,-355,-9408,-2836,12000,-546,-209,-224
185731,-9436,-4228,13060,-452,-29,-347,-9436,-2864,12080,-527,-217,-213
185751,-9416,-4264,12992,-410,-62,-358,-9324,-2728,11924,-536,-189,-216
185771,-9432,-4240,12976,-450,-43,-348,-9488,-2784,12016,-551,-204,-219
185791,-9440,-4216,12860,-449,-39,-361,-9404,-2824,11824,-544,-219,-239
185811,-9544,-4180,13072,-494,-50,-346,-9508,-2816,12016,-515,-188,-235
185831,-9456,-4196,12896,-453,-25,-363,-9492,-2748,11892,-532,-185,-206
185851,-9388,-4144,12900,-433,-25,-343,-9524,-2844,11924,-548,-184,-218
185871,-9488,-4192,12932,-442,-54,-361,-9420,-2816,12072,-526,-210,-220
185891,-9408,-4260,12972,-522,-57,-342,-9436,-2740,11988,-533,-209,-218
185911,-9440,-4352,13000,-443,-39,-337,-9464,-2784,11868,-535,-220,-248
185931,-9396,-4152,12932,-410,-62,-336,-9516,-2836,11956,-536,-209,-222
185951,-9332,-4188,12944,-474,-39,-357,-9476,-2780,11928,-543,-216,-221
185971,-9448,-4172,12964,-502,-38,-356,-9468,-2912,11916,-551,-207,-223
185991,-9436,-4148,13000,-453,-35,-350,-9408,-2824,11984,-545,-194,-222
186011,-9312,-4236,12820,-530,-82,-336,-9496,-2836,11880,-535,-160,-225
186031,-9504,-4224,13000,-445,-69,-303,-9544,-2724,11980,-531,-206,-216
186051,-9412,-4252,13020,-456,-2,-337,-9520,-2760,11908,-558,-193,-218
186071,-9524,-4228,12876,-409,-34,-382,-9596,-2784,11936,-533,-200,-243
186091,-9436,-4220,12972,-491,-59,-350,-9536,-2760,12032,-530,-214,-217
186111,-9368,-4160,12976,-462,-55,-328,-9456,-2756,12040,-535,-194,-218
186131,-9372,-4260,13104,-466,-18,-342,-9564,-2784,11952,-547,-175,-240
186151,-9536,-4192,12872,-502,9,-341,-9428,-2796,11756,-544,-220,-218
186171,-9432,-4272,13040,-373,-45,-384,-9500,-2836,11976,-532,-204,-211
186191,-9420,-4168,13012,-539,-27,-353,-9492,-2808,11916,-534,-191,-228
186211,-9480,-4280,13088,-456,-77,-402,-9436,-2824,11888,-551,-205,-223
186231,-9340,-4268,12836,-496,5,-364,-9564,-2772,11996,-545,-194,-217
186251,-9444,-4256,12980,-378,-49,-401,-9572,-2680,11912,-532,-189,-222
186271,-9372,-4300,12864,-485,-37,-337,-9532,-2844,11972,-545,-188,-200
186291,-9368,-4148,12768,-485,-37,-361,-9472,-2764,11900,-550,-196,-211
186311,-9444,-4248,12976,-444,-21,-354,-9516,-2740,11940,-545,-189,-229
186331,-9396,-4056,12928,-483,-30,-337,-9440,-2748,11980,-523,-197,-219
186351,-9440,-4216,13064,-424,-65,-378,-9540,-2848,12008,-563,-223,-221
186371,-9460,-4224,12800,-461,-47,-337,-9512,-2784,11864,-534,-206,-216
186391,-9580,-4260,12864,-500,-64,-349,-9456,-2776,11960,-544,-198,-240
186411,-9504,-4140,12892,-422,-45,-323,-9436,-2812,11968,-535,-194,-240
186431,-9404,-4232,12940,-487,-24,-324,-9468,-2744,12040,-528,-213,-207
186451,-9360,-4340,12968,-428,-79,-349,-9484,-2792,11996,-533,-200,-208
186471,-9436,-4148,12820,-531,-42,-315,-9456,-2836,11844,-566,-202,-222
186491,-9452,-4228,12968,-350,-64,-394,-9392,-2896,11896,-547,-216,-215
186511,-9384,-4172,12956,-483,-58,-364,-9524,-2780,11984,-552,-197,-211
186531,-9544,-4184,12876,-527,-65,-354,-9516,-2776,12060,-528,-204,-220
186551,-9268,-4216,12996,-445,-38,-339,-9512,-2864,12036,-552,-190,-219
186571,-9396,-4232,12864,-410,-45,-349,-9544,-2724,11776,-548,-209,-216
186591,-9400,-4176,12924,-464,-48,-339,-9516,-2792,11840,-535,-207,-243
186611,-9428,-4212,12928,-491,-19,-325,-9364,-2836,11876,-539,-210,-218
186631,-9488,-4252,12868,-435,-49,-378,-9572,-2920,12020,-541,-211,-218
186651,-9456,-4076,13024,-457,-74,-352,-9508,-2696,12036,-541,-202,-236
186671,-9448,-4160,12952,-442,-26,-337,-9544,-2736,11900,-529,-199,-230
186691,-9496,-4312,13012,-472,-40,-353,-9440,-2784,11968,-526,-187,-218
186711,-9304,-4232,12880,-496,-27,-354,-9432,-2748,11916,-548,-220,-228
186731,-9500,-4232,12968,-451,-43,-343,-9396,-2728,12084,-547,-206,-216
186751,-9392,-4164,12856,-411,-19,-336,-9480,-2912,12000,-521,-206,-233
186771,-9364,-4152,12896,-446,-44,-355,-9528,-2788,11896,-545,-214,-211
186791,-9496,-4196,13008,-528,-49,-354,-9464,-2800,11844,-561,-198,-226
186811,-9472,-4220,12864,-434,-45,-317,-9492,-2808,11956,-553,-199,-221
186831,-9436,-4188,12968,-388,-53,-328,-9412,-2864,11928,-541,-188,-221
186851,-9396,-4192,12884,-511,-53,-381,-9508,-2804,12080,-528,-220,-220
186871,-9404,-4208,12860,-513,-50,-339,-9488,-2720,11880,-545,-204,-221
186891,-9424,-4264,12828,-420,-65,-359,-9556,-2776,11872,-531,-199,-219
186911,-9472,-4204,13052,-423,-40,-344,-9500,-2848,11852,-573,-215,-223
186931,-9412,-4224,12896,-465,-38,-357,-9448,-2832,11896,-537,-192,-204
186951,-9540,-4220,13020,-460,-30,-345,-9488,-2840,11920,-552,-208,-221
186971,-9448,-4208,13008,-507,-42,-327,-9440,-2836,11984,-534,-215,-222
186991,-9432,-4220,12916,-454,-46,-344,-9468,-2716,12000,-553,-185,-223
187011,-9448,-4296,13040,-404,-46,-340,-9500,-2780,11960,-555,-192,-234
187031,-9420,-4200,12716,-477,-23,-361,-9560,-2860,11900,-566,-206,-231
187051,-9540,-4220,12984,-556,-36,-356,-9368,-2804,12088,-537,-199,-226
187071,-9420,-4272,12932,-459,-59,-321,-9468,-2732,11884,-529,-195,-230
187091,-9436,-4208,13040,-313,-60,-341,-9512,-2872,11964,-564,-209,-207
187111,-9424,-4212,12900,-524,-36,-349,-9540,-2780,12012,-526,-220,-226
187131,-9424,-4100,12828,-566,-30,-347,-9408,-2832,12028,-538,-198,-211
187151,-9412,-4196,12952,-434,-10,-317,-9520,-2748,12016,-547,-185,-233
187171,-9384,-4184,12960,-363,-69,-336,-9472,-2780,12028,-533,-190,-215
187191,-9360,-4124,12916,-492,-60,-363,-9504,-2888,11960,-560,-206,-217
187211,-9392,-4236,12916,-502,-67,-368,-9456,-2796,11988,-546,-202,-228
